index,Order ID,Date,Status,Fulfilment,Category,Size,ASIN,Courier Status,Qty,Amount,ship-city,ship-state,ship-postal-code
28181,171-9260981-4111527,04-14-22,Shipped - Delivered to Buyer,Merchant,Set,L,B09K3PDMBM,Shipped,1,517,MEERUT,UTTAR PRADESH,250001
28182,405-6739589-0085109,04-14-22,Shipped,Amazon,kurta,XXL,B07H7DZXJ5,Shipped,1,995,"Port Blair , South Andaman",ANDAMAN & NICOBAR ,744103
28183,406-9270205-0671502,04-14-22,Shipped - Delivered to Buyer,Merchant,kurta,M,B09SDZ4FH9,Shipped,1,631,CHENNAI,TAMIL NADU,603210
28184,405-8907037-1625161,04-14-22,Shipped - Delivered to Buyer,Merchant,Set,M,B0822TDMYH,Shipped,1,518,MANGALURU,KARNATAKA,574229
28185,405-1581058-6357102,04-14-22,Shipped,Amazon,Set,M,B094FRW46T,Shipped,1,725,MANGALURU,KARNATAKA,574229
28186,406-4771025-0145962,04-14-22,Shipped - Delivered to Buyer,Merchant,Set,3XL,B08W8DBX54,Shipped,1,788,Ulhasnagar,MAHARASHTRA,421004
28187,407-7308512-8467506,04-14-22,Shipped,Amazon,kurta,XL,B07MXZV197,Shipped,1,612,"Ithepalli(v), Chandragiri(M), Chittoor(D),",ANDHRA PRADESH,517102
28188,407-8846699-6719545,04-14-22,Shipped - Delivered to Buyer,Merchant,kurta,L,B08YZ2SBPM,Shipped,1,455,aligarh,UTTAR PRADESH,202001
28189,171-1137016-7110708,04-14-22,Shipped,Amazon,Set,3XL,B08QGLKJ94,Shipped,1,349,CHANDIGARH,Chandigarh,160047
28190,406-7194574-5405949,04-14-22,Cancelled,Merchant,Set,3XL,B08W8DBX54,Null,0,475,Ulhasnagar,MAHARASHTRA,421004
28191,402-4683262-4949954,04-14-22,Cancelled,Merchant,Set,XL,B0894YFQ5R,Null,0,1556,Gurgaon,HARYANA,122011
28192,402-2708818-1969928,04-14-22,Shipped,Amazon,Western Dress,3XL,B09SDXPB9D,Shipped,1,433,THIRUVALLUR,TAMIL NADU,602001
28193,405-6329924-6890767,04-14-22,Shipped - Delivered to Buyer,Merchant,Set,XL,B09RKFLLF1,Shipped,1,663,GANGTOK,SIKKIM,737101
28194,407-2047378-0933153,04-14-22,Shipped,Amazon,kurta,XL,B07R3KS3DN,Shipped,1,690,BANGALORE,KARNATAKA,560093
28195,407-3339411-8741130,04-14-22,Shipped,Amazon,kurta,XS,B08TH2M8KR,Shipped,1,696,Bengaluru,KARNATAKA,560057
28196,171-6062627-4037968,04-14-22,Cancelled,Amazon,Set,M,B0822V3NH7,Cancelled,0,432,CHENNAI,TAMIL NADU,600049
28197,171-6062627-4037968,04-14-22,Cancelled,Amazon,kurta,XS,B081WX6MFJ,Cancelled,0,362,CHENNAI,TAMIL NADU,600049
28198,405-8369773-1695535,04-14-22,Shipped,Amazon,kurta,M,B081WVMMCY,Shipped,1,0,NAVI MUMBAI,MAHARASHTRA,400705
28199,407-1372885-1756304,04-14-22,Shipped,Amazon,Set,XL,B09Q19BQCF,Shipped,1,0,ADONI,ANDHRA PRADESH,518301
28200,407-7978485-3783552,04-14-22,Shipped,Amazon,Blouse,M,B08394N9V1,Shipped,1,399,Pune,MAHARASHTRA,411027
28201,171-3436122-0576360,04-14-22,Shipped,Amazon,Set,XL,B08XQBF1G4,Shipped,1,916,BIDAR,KARNATAKA,585401
28202,407-2694547-2930703,04-14-22,Shipped,Amazon,Set,S,B08WHYM2X9,Shipped,1,259,BANDIA,UTTARAKHAND,263148
28203,406-8412561-0275505,04-14-22,Shipped,Amazon,Top,S,B08V1LLYYW,Shipped,1,788,KALYAN,MAHARASHTRA,421202
28204,404-6903766-7459532,04-14-22,Shipped,Amazon,Set,3XL,B0894X8ND7,Shipped,1,680,GURUGRAM,HARYANA,122004
28205,403-0316689-6903556,04-14-22,Shipped,Amazon,kurta,M,B07T1XCJWG,Shipped,1,574,BENGALURU,KARNATAKA,560015
28206,171-4901931-0937141,04-14-22,Shipped - Delivered to Buyer,Merchant,Set,M,B09K3S83SC,Shipped,1,1133,Bangalore,KARNATAKA,560050
28207,408-5503845-0275508,04-14-22,Shipped,Amazon,kurta,S,B091QB6SSN,Shipped,1,376,HYDERABAD,TELANGANA,500032
28208,402-9287175-6320346,04-14-22,Shipped - Delivered to Buyer,Merchant,Set,XS,B09TH6ZKSH,Shipped,1,939,VADODARA,Gujarat,391320
28209,404-2319409-3090765,04-14-22,Shipped - Delivered to Buyer,Merchant,kurta,S,B09K3WHHR1,Shipped,1,375,BILIMORA,Gujarat,396321
28210,408-9663306-7591522,04-14-22,Cancelled,Merchant,kurta,M,B08PCVMF6R,Null,0,1281,CHENNAI,TAMIL NADU,600094
28211,408-9663306-7591522,04-14-22,Cancelled,Merchant,kurta,M,B08HK4W6YT,Null,0,432,CHENNAI,TAMIL NADU,600094
28212,407-7194725-1736343,04-14-22,Shipped - Delivered to Buyer,Merchant,kurta,XS,B08KRSK8BX,Shipped,1,464,GULEDGUDDA,KARNATAKA,587203
28213,404-8861809-6614763,04-14-22,Shipped,Amazon,Set,M,B08XQ8R6GW,Shipped,1,464,CHENNAI,TAMIL NADU,600042
28214,403-5950066-8880344,04-14-22,Shipped - Delivered to Buyer,Merchant,Western Dress,M,B09RK7Q644,Shipped,1,399,HYDERABAD,TELANGANA,500032
28215,403-5950066-8880344,04-14-22,Shipped - Delivered to Buyer,Merchant,Western Dress,M,B099NP42BF,Shipped,1,788,HYDERABAD,TELANGANA,500032
28216,403-6537300-0145144,04-14-22,Shipped,Amazon,kurta,XL,B082W8BXW1,Shipped,1,721,BENGALURU,KARNATAKA,560060
28217,403-6537300-0145144,04-14-22,Shipped,Amazon,kurta,XL,B07RRVXPMR,Shipped,1,859,BENGALURU,KARNATAKA,560060
28218,402-6165536-3533113,04-14-22,Shipped - Delivered to Buyer,Merchant,kurta,XXL,B08RP3TP66,Shipped,1,376,VARANASI,UTTAR PRADESH,221010
28219,402-6165536-3533113,04-14-22,Shipped - Delivered to Buyer,Merchant,Set,XXL,B09BQFKTLT,Shipped,1,487,VARANASI,UTTAR PRADESH,221010
28220,402-6165536-3533113,04-14-22,Shipped - Delivered to Buyer,Merchant,Set,XXL,B07SQC8DGP,Shipped,1,352,VARANASI,UTTAR PRADESH,221010
28221,402-6165536-3533113,04-14-22,Shipped - Delivered to Buyer,Merchant,Set,XXL,B08YNK9K8F,Shipped,1,852,VARANASI,UTTAR PRADESH,221010
28222,402-6165536-3533113,04-14-22,Shipped - Delivered to Buyer,Merchant,Set,XXL,B08L92YWPH,Shipped,1,579,VARANASI,UTTAR PRADESH,221010
28223,402-6165536-3533113,04-14-22,Shipped - Delivered to Buyer,Merchant,Set,XXL,B0894YNXQ3,Shipped,1,824,VARANASI,UTTAR PRADESH,221010
28224,402-6165536-3533113,04-14-22,Shipped - Delivered to Buyer,Merchant,Set,XXL,B08ZYQ716N,Shipped,1,548,VARANASI,UTTAR PRADESH,221010
28225,402-6165536-3533113,04-14-22,Shipped - Delivered to Buyer,Merchant,Set,XXL,B08B3YH18X,Shipped,1,1115,VARANASI,UTTAR PRADESH,221010
